,input,filtered,denoised,merged,tabled,nonchim
KA1-1,30967,30103,30084,29956,29956,29956
KA3-1,5279,5001,4984,4971,4971,4971
KA4-2,52348,50890,50842,50186,50186,50107
KA5-2,24818,23607,23536,23399,23399,23399
KB13-2,25673,24788,24782,24730,24730,24730
KB28-1,55958,54093,53956,52928,52928,52928
KB39-1,13951,13200,13172,13007,13007,13007
KB39-2,62338,60906,60811,60238,60238,60238
KE13-1,84501,81513,81357,80114,80114,79571
KE14-1,37020,35681,35668,35536,35536,35536
KE31-2,114613,109750,109574,108180,108180,108078
KE9-2,70494,68218,68108,67805,67805,67185
KF19-1,35179,34247,34214,33997,33997,33928
KF19-2,39528,38267,38226,38116,38116,38108
KF23-2,73993,71839,71742,70831,70831,70831
KF9-1,40101,38837,38696,38633,38633,38633
KG12-1,59712,54392,54287,53985,53985,53870
KG12-2,71102,66995,66562,65297,65297,65105
KG31-1,43657,41368,41035,39670,39656,39389
KG31-2,21542,20951,20896,20829,20829,20829
neg-mp,184,176,172,172,172,172
neg-tv,2061,1952,1950,1950,1950,1950
VB1-2,33307,32402,32239,32051,32051,32051
VB11-1,28160,27201,27184,26927,26927,26927
VB11-2,14962,14249,14186,14027,14027,14027
VB5-1,88447,84759,84407,83106,83106,82410
VD10-1,89671,87570,87376,86578,86578,86176
VD15-2,90376,87593,87531,86458,86458,86457
VD17-1,11732,11213,11185,11175,11175,11175
VD17-2,38862,37614,37595,37394,37394,37391
VE14-2,25588,24518,24492,24426,24426,24426
VE18-1,19989,19341,19326,19119,19119,19119
VE18-2,24188,23198,23131,23088,23088,23088
VE30-1,43312,41109,41072,40904,40822,40758
VF23-2,133319,129342,129112,128104,128104,127730
VF31-1,51219,49881,49724,49479,49479,49478
VF40-1,79955,77829,77478,76955,76955,76938
VF40-2,104120,101206,101175,100238,100238,99918
VG1-1,40746,39857,39796,39680,39680,39679
VG1-2,37786,36662,36637,36304,36304,36300
VG17-2,34363,33209,33186,33138,33138,33055
